conv2d_10,0.9765
conv2d_11,0.9782
conv2d_12,0.9816
conv2d_13,0.9832
conv2d_14,0.9715
conv2d_15,0.9799
conv2d_16,0.9715
conv2d_17,0.9749
conv2d_18,0.9782
conv2d_19,0.9732
conv2d_20,0.9698
conv2d_21,0.9799
conv2d_22,0.9883
conv2d_23,0.9816
conv2d_24,0.9866
conv2d_25,0.9732
conv2d_26,0.9799
conv2d_27,0.9765
conv2d_28,0.9682
conv2d_29,0.9883
conv2d_3,0.9715
conv2d_30,0.9598
conv2d_31,0.9531
conv2d_32,0.9581
conv2d_33,0.9347
conv2d_34,0.9581
conv2d_35,0.9548
conv2d_36,0.8961
conv2d_37,0.9380
conv2d_38,0.8559
conv2d_39,0.9430
conv2d_4,0.9732
conv2d_40,0.9213
conv2d_41,0.9263
conv2d_42,0.9414
conv2d_43,0.9095
conv2d_44,0.9280
conv2d_45,0.9347
conv2d_46,0.9095
conv2d_47,0.9062
conv2d_48,0.8626
conv2d_49,0.9112
conv2d_5,0.9782
conv2d_50,0.9162
conv2d_51,0.9162
conv2d_52,0.9380
conv2d_53,0.9012
conv2d_54,0.9079
conv2d_55,0.9246
conv2d_56,0.9179
conv2d_57,0.9196
conv2d_58,0.8961
conv2d_59,0.8894
conv2d_6,0.9832
conv2d_60,0.9615
conv2d_61,0.9615
conv2d_62,0.9363
conv2d_63,0.8811
conv2d_64,0.9564
conv2d_65,0.9263
conv2d_66,0.9162
conv2d_67,0.9012
conv2d_68,0.8978
conv2d_69,0.9296
conv2d_7,0.9749
conv2d_70,0.9397
conv2d_71,0.9397
conv2d_72,0.9430
conv2d_73,0.9330
conv2d_74,0.8844
conv2d_75,0.8593
conv2d_76,0.9213
conv2d_77,0.9229
conv2d_78,0.8878
conv2d_79,0.8911
conv2d_8,0.9765
conv2d_80,0.9213
conv2d_81,0.8827
conv2d_82,0.8710
conv2d_83,0.8576
conv2d_84,0.8526
conv2d_85,0.9380
conv2d_86,0.9012
conv2d_87,0.9129
conv2d_88,0.9263
conv2d_89,0.9112
conv2d_9,0.9765
conv2d_90,0.8894
conv2d_91,0.8727
conv2d_92,0.8660
conv2d_93,0.8291
max_pooling2d,0.9816
max_pooling2d_1,0.9782
max_pooling2d_2,0.9799
max_pooling2d_3,0.9313
