conv2d_89,0.6047
conv2d_12,0.9615
conv2d_62,0.6466
conv2d_21,0.8978
conv2d_43,0.5695
conv2d_40,0.6801
conv2d_13,0.9330
conv2d_92,0.6499
conv2d_66,0.6131
conv2d_26,0.8643
conv2d_88,0.6868
conv2d_79,0.5779
conv2d_9,0.8760
conv2d_38,0.5042
conv2d_54,0.6164
conv2d_72,0.7806
conv2d_8,0.9296
conv2d_64,0.6851
conv2d_22,0.9531
conv2d_48,0.5528
conv2d_46,0.6399
max_pooling2d_1,0.8961
conv2d_56,0.6533
conv2d_85,0.7420
max_pooling2d_3,0.6717
conv2d_27,0.9481
conv2d_33,0.6767
conv2d_87,0.7387
conv2d_11,0.8978
conv2d_76,0.6717
conv2d_18,0.8308
conv2d_86,0.5712
conv2d_73,0.7404
conv2d_47,0.6600
conv2d_49,0.6265
conv2d_53,0.5846
conv2d_59,0.6030
conv2d_78,0.6030
conv2d_90,0.4975
conv2d_29,0.9715
conv2d_6,0.9028
conv2d_77,0.6533
conv2d_35,0.7487
conv2d_58,0.5611
conv2d_68,0.7085
conv2d_84,0.4439
conv2d_36,0.6667
conv2d_57,0.6784
conv2d_25,0.8275
conv2d_14,0.8174
conv2d_24,0.9732
conv2d_69,0.5930
conv2d_30,0.7755
conv2d_17,0.8610
conv2d_65,0.6164
conv2d_83,0.4908
conv2d_55,0.6181
conv2d_61,0.7387
conv2d_34,0.7856
conv2d_5,0.9028
max_pooling2d,0.8928
max_pooling2d_2,0.8559
conv2d_44,0.6650
conv2d_16,0.8174
conv2d_31,0.7471
conv2d_71,0.6817
conv2d_50,0.6717
conv2d_19,0.8760
conv2d_15,0.8442
conv2d_41,0.6365
conv2d_3,0.9330
conv2d_23,0.8358
conv2d_51,0.6399
conv2d_42,0.7672
conv2d_45,0.6600
conv2d_52,0.6951
conv2d_91,0.6583
conv2d_4,0.8794
conv2d_67,0.6214
conv2d_39,0.7387
conv2d_60,0.7538
conv2d_81,0.5008
conv2d_82,0.5745
conv2d_20,0.8509
conv2d_7,0.8208
conv2d_74,0.5327
conv2d_70,0.7471
conv2d_75,0.5092
conv2d_10,0.8459
conv2d_32,0.7504
conv2d_93,0.4724
conv2d_37,0.6650
conv2d_80,0.6683
conv2d_63,0.5394
conv2d_28,0.8224
